Dam Name,Other Names,Former Names,NID ID,Other Structure ID,Federal ID,Owner Names,Owner Types,Primary Owner Type,Number of Associated Structures,Is Associated Structure?,Designer Names,Non-Federal Dam on Federal Property,Primary Purpose,Purposes,Source Agency,State or Federal Agency ID,Latitude,Longitude,State,County,City,Distance to Nearest City (Miles),River or Stream Name,Congressional District,American Indian/Alaska Native/Native Hawaiian,State Regulated Dam,State Jurisdictional Dam,State Regulatory Agency,State Permitting Authority,State Inspection Authority,State Enforcement Authority,Federally Regulated Dam,Federal Agency Owners,Federal Agency Involvement Funding,Federal Agency Involvement Design,Federal Agency Involvement Construction,Federal Agency Involvement Regulatory,Federal Agency Involvement Inspection,Federal Agency Involvement Operation,Federal Agency Involvement Other,Built Under the Authority of the Secretary of Agriculture,NRCS Watershed Dam Authorization,Primary Dam Type,Dam Types,Core Types,Foundation,Dam Height (Ft),Hydraulic Height (Ft),Structural Height (Ft),NID Height (Ft),NID Height Category,Dam Length (Ft),Volume (Cubic Yards),Year Completed,Year Completed Category,Years Modified,NID Storage (Acre-Ft),Max Storage (Acre-Ft),Normal Storage (Acre-Ft),Surface Area (Acres),Drainage Area (Sq Miles),Max Discharge (Cubic Ft/Second),Spillway Type,Spillway Width (Ft),Number of Locks,Length of Locks (ft),Lock Width (Ft),Length of Secondary Lock (Ft),Secondary Lock Width (Ft),Outlet Gate Type,Data Last Updated,Last Inspection Date,Inspection Frequency,Hazard Potential Classification,Condition Assessment,Condition Assessment Date,Operational Status,Operational Status Date,EAP Prepared,EAP Last Revision Date,Inundation Maps Added to NID?,Website URL
Newcastle Railroad Embankment Dam,,,WA00648,,WA00648,Newcastle City,Local Government,Local Government,0,No,,No,Flood Risk Reduction,Flood Risk Reduction,Washington,KI8-0648,47.522983,-122.173869,Washington,King,Newcastle,0,Tr - May Creek,"Washington, Congressional District 09",,Yes,Yes,Washington Dept of Ecology,Yes,Yes,Yes,No,,,,,,,,,No,N/A,Earth,Earth,Earth,Soil,,50,55,55,51-100 feet,150,,1900,1900-1909,,120,120,15,1,0.23,1530,,,,,,,,,5/16/2024,10/18/2023,5,High,Poor,8/30/2018,,,Yes,5/15/2019,No,https://damsafety.org/washington
Cedar Bayou Generating Pond Levee,,,TX04847,,TX04847,NRG TEXAS POWER LLC,Private,Private,0,No,EBASCO SERVICES INC,No,Other,Other,Texas,TX04847,29.755739,-94.817781,Texas,Chambers,,,CEDAR BAYOU,"Texas, Congressional District 36",,Yes,Yes,TCEQ,Yes,Yes,Yes,No,,,,,,,,,No,N/A,Earth,Earth,Earth,Soil,10,10,10,10,Less than 25 feet,23230,0,1972,1970-1979,,30000,30000,19250,2750,0,,None,,,,,,,None1,9/10/2024,5/24/1988,,Low,Not Rated,6/18/2014,Not Applicable,5/21/2022,Not Required,,No,https://damsafety.org/texas
Lake Jb Thomas Dam,,Lake J B Thomas Dam,TX04138,,TX04138,COLORADO RIVER MUNICIPAL WATER DISTRICT,Local Government,Local Government,0,No,FREESE AND NICHOLS;FREESE AND NICHOLS,No,Water Supply,Water Supply;Recreation,Texas,TX04138,32.58333,-101.135,Texas,Scurry,COLORADO CITY,50,COLORADO RIVER,"Texas, Congressional District 19",,Yes,Yes,TCEQ,Yes,Yes,Yes,No,,,,,,,,,No,N/A,Earth,Earth,Earth,Rock;Soil,105,100,105,105,Greater than 100 feet,9200,0,1952,1950-1959,2007O,430600,430600,200604,7820,997,161002,Uncontrolled,1833.5,,,,,,Uncontrolled3;Valve1,9/10/2024,1/10/2024,5,High,Fair,5/13/2024,Normal Operations,5/13/2024,Yes,10/2/2023,No,https://damsafety.org/texas
Cedar Creek WS SCS Gss 101,,,TX09314,,TX09314,KAUFMAN VAN ZANDT SWCD,Local Government,Local Government,0,No,USDA NRCS,No,Flood Risk Reduction,Flood Risk Reduction;Other,Texas,TX09314,32.610983,-96.366713,Texas,Kaufman,,,TR-BIG BRUSHY CREEK,"Texas, Congressional District 05",,Yes,Yes,TCEQ,Yes,Yes,Yes,No,,,,,,,,,No,N/A,Earth,Earth,,,19,19,19,19,Less than 25 feet,2270,0,1984,1980-1989,,87,87,14.7,2,0.41,,None,,,,,,,None1,9/10/2024,,,Low,Not Rated,6/18/2014,Not Applicable,5/21/2022,Yes,2/1/2017,No,https://damsafety.org/texas
Cedar Heights Dam,,,WA01900,,WA01900,Mount Vernon City,Private,Private,0,No,,No,Flood Risk Reduction,Flood Risk Reduction,Washington,SK3-1900,48.420833,-122.281389,Washington,Skagit,None,0,Tr- E.F. Thunderbird Creek,"Washington, Congressional District 02",,Yes,Yes,Washington Dept of Ecology,Yes,Yes,Yes,No,,,,,,,,,No,N/A,Earth,Earth,Earth,Soil,,15,15,15,Less than 25 feet,,,2007,Since 2000,2008,20,20,12.6,1.8,0.16,74,,,,,,,,,5/16/2024,10/31/2023,5,High,Fair,8/13/2018,,,Yes,9/24/2019,No,https://damsafety.org/washington
Cain Dam 1,,,TX04040,,TX04040,JW FRANCES CAIN ET AL,Private,Private,0,No,NO DATA FOR ORIGINAL DESIGNER,No,Irrigation,Irrigation,Texas,TX04040,26.192157,-97.363245,Texas,Cameron,,,RESACA DE LOS CUATES,"Texas, Congressional District 34",,Yes,Yes,TCEQ,Yes,Yes,Yes,No,,,,,,,,,No,N/A,Earth,Earth,,,10,10,10,10,Less than 25 feet,450,0,1949,1940-1949,,430,430,343,0,0,,None,,,,,,,None1,9/10/2024,3/20/1985,,Low,Not Rated,6/18/2014,Not Applicable,5/21/2022,Not Required,,No,https://damsafety.org/texas
Dana-Tule Levee 1,,,TX04032,,TX04032,MARTHA DANA MERCER TRUST,Private,Private,0,No,NO DATA FOR ORIGINAL DESIGNER,No,Irrigation,Irrigation,Texas,TX04032,26.055761,-97.463956,Texas,Cameron,,,CAMERON CO MAIN DITCH #2,"Texas, Congressional District 34",,Yes,Yes,TCEQ,Yes,Yes,Yes,No,,,,,,,,,No,N/A,Earth,Earth,,,8,8,8,8,Less than 25 feet,5600,0,1951,1950-1959,,525,525,393,0,0,,None,,,,,,,None1,9/10/2024,3/2/1976,,Low,Not Rated,6/18/2014,Not Applicable,5/21/2022,Not Required,,No,https://damsafety.org/texas
Cameron County Fwsd Dam 1,,,TX04031,,TX04031,CAMERON COUNTY FWSD DAM 1,Local Government,Local Government,0,No,MILLWEE & ASSOCIATES,No,Water Supply,Water Supply,Texas,TX04031,26.121427,-97.314092,Texas,Cameron,,,OFF CH-LAGUNA VISTA,"Texas, Congressional District 34",,Yes,Yes,TCEQ,Yes,Yes,Yes,No,,,,,,,,,No,N/A,Earth,Earth,,Soil,7,7,7,7,Less than 25 feet,600,0,1952,1950-1959,,1900,1900,1080,0,0,,None,,,,,,,None1,9/10/2024,2/5/1970,,Low,Not Rated,6/18/2014,Not Applicable,5/21/2022,Not Required,,No,https://damsafety.org/texas
Coldwater Debris Dam,,,WA00771,,WA00771,USDA FS,Federal,Federal,0,No,,No,Other,Other,Forest Service,060301 5738,46.292231,-122.261633,Washington,Cowlitz,CASTLE ROCK,,NORTH FORK OF COLDWATER CREEK,"Washington, Congressional District 03",,No,,,,,,Yes,Forest Service,US Army Corps of Engineers,US Army Corps of Engineers,US Army Corps of Engineers,Forest Service,Forest Service,Forest Service,,No,N/A,Earth,Earth,,,200,170,,200,Greater than 100 feet,4200,,1981,1980-1989,,78700,78700,64500,,,,Uncontrolled,40,,,,,,,5/17/2021,10/6/2011,,Undetermined,Not Rated,,,,Not Required,,No,https://www.fs.usda.gov/eng/dams/
Gardner Dam,,,WA00280,,WA00280,Granite Falls City,Local Government,Local Government,0,No,Snohomish County Public Works,No,Recreation,Recreation,Washington,SN7-0280,48.0812,-121.982271,Washington,Snohomish,None,0,Tr-Pilchuck River,"Washington, Congressional District 08",,Yes,Yes,Washington Dept of Ecology,Yes,Yes,Yes,No,,,,,,,,,No,N/A,Earth,Earth,Earth,Soil,,9,11,11,Less than 25 feet,125,,1961,1960-1969,2004H,56,56,40,40,0.2,0,,,,,,,,,5/16/2024,8/17/2023,0,Low,,,,,Not Required,,No,https://damsafety.org/washington
Lake Wildwood Dam,,,TX04432,,TX04432,LAKE WILDWOOD PROPERTY OWNERS ASSOCIATION,Private,Private,0,No,EDWARD D CAMPBELL,No,Recreation,Recreation,Texas,TX04432,30.304752,-95.366336,Texas,Montgomery,,,TR-WEST FORK CRYSTAL CREEK,"Texas, Congressional District 08",,Yes,Yes,TCEQ,Yes,Yes,Yes,No,,,,,,,,,No,N/A,Earth,Earth,,,15,15,15,15,Less than 25 feet,385,0,1969,1960-1969,,78,78,36,0,0,,None,,,,,,,None1,9/10/2024,1/27/1977,,Low,Not Rated,6/18/2014,Not Applicable,5/21/2022,Not Required,,No,https://damsafety.org/texas
Boykin Lake Dam,,,TX03937,,TX03937,UNITED STATES FOREST SERVICE,Federal,Federal,0,No,NO DATA FOR ORIGINAL DESIGNER;USFS,No,Recreation,Recreation,Texas,TX03937,31.059713,-94.275929,Texas,Jasper,,,BOYKIN CREEK,"Texas, Congressional District 36",,Yes,Yes,TCEQ,Yes,Yes,Yes,No,,,,,,,,,No,N/A,Earth,Earth,,,25,25,25,25,25-50 feet,300,0,1937,1930-1939,2008H,93,93,35,4.61,1.5,1,Uncontrolled,50,,,,,,Uncontrolled1;Valve1,9/10/2024,9/21/2022,,Low,Fair,1/31/2023,Normal Operations,1/31/2023,Not Required,,No,https://damsafety.org/texas
Louise Lake Dam,,,WA00175,,WA00175,Sudden Valley Community Association,Private,Private,0,No,,No,Irrigation,Irrigation;Recreation,Washington,WH1-0175,48.711844,-122.325122,Washington,Whatcom,None,0,Tr-Lake Whatcom,"Washington, Congressional District 02",,Yes,Yes,Washington Dept of Ecology,Yes,Yes,Yes,No,,,,,,,,,No,N/A,Earth,Earth,Earth,Soil,,14,14,14,Less than 25 feet,300,,1972,1970-1979,2014,480,480,220,29,0.32,50,,,,,,,,,5/16/2024,10/27/2023,5,High,Satisfactory,5/9/2018,,,Yes,10/5/2009,No,https://damsafety.org/washington
Moore Dam,,,TX06515,,TX06515,CLUBCORP GOLF OF TEXAS LP,Private,Private,0,No,PAPE DAWSON ENGINEERS,No,Irrigation,Irrigation;Water Supply,Texas,TX06515,30.362488,-97.989269,Texas,Travis,AUSTIN,1,TR-COLORADO RIVER,"Texas, Congressional District 10",,Yes,Yes,TCEQ,Yes,Yes,Yes,No,,,,,,,,,No,N/A,Earth,Earth,,,24,24,26,26,25-50 feet,290,0,,Undetermined,2014H,36,36,19,1.93,0.24,3300,Uncontrolled,68,,,,,,Uncontrolled2,9/10/2024,11/5/2020,5,Significant,Fair,6/28/2022,Normal Operations,6/28/2022,Yes,6/19/2012,No,https://damsafety.org/texas
Casad Dam,,,WA00171,,WA00171,Bremerton City,Local Government,Local Government,0,No,,No,Water Supply,Water Supply,Washington,KP15-0171,47.537247,-122.779611,Washington,Kitsap,Belfair,7,Union River,"Washington, Congressional District 06",,Yes,Yes,Washington Dept of Ecology,Yes,Yes,Yes,No,,,,,,,,,No,N/A,Arch,Arch,Concrete;Unlisted/Unknown,Soil,,130,190,190,Greater than 100 feet,416,,1956,1950-1959,,4500,4500,4260,40,2.71,520,,,,,,,,,5/16/2024,2/14/2024,5,High,Fair,8/1/2018,,,Yes,9/1/2019,No,https://damsafety.org/washington
Lake Galahad Dam,,,TX03757,,TX03757,CITY OF IVANHOE,Local Government,Local Government,0,No,"TYE R. DEMASS, P.E.;WHEELER ENGINEERING INC;WHEELER ENGINEERING INC",No,Recreation,Recreation,Texas,TX03757,30.674512,-94.420576,Texas,Tyler,HILLISTER,2,MAGNUS BRANCH,"Texas, Congressional District 36",,Yes,Yes,TCEQ,Yes,Yes,Yes,No,,,,,,,,,No,N/A,Earth,Earth,Earth;Unlisted/Unknown,Unlisted/Unknown,11,11,11,11,Less than 25 feet,900,0,1958,1950-1959,2004S;2009S,730,730,268,85,10.47,17387,Uncontrolled,865,,,,,,Uncontrolled2;Valve1,9/10/2024,10/3/2023,5,High,Fair,4/16/2024,Normal Operations,4/16/2024,Yes,2/8/2024,No,https://damsafety.org/texas
Mountain Pond Dam,Broetje Mountain Pond Dam,,WA01860,,WA01860,FirstFruits,Private,Private,0,No,,No,Irrigation,Irrigation,Washington,WW33-1860,46.33051472,-118.7167463,Washington,Walla Walla,None,0,Snake R. - Offstream,"Washington, Congressional District 05",,Yes,Yes,Washington Dept of Ecology,Yes,Yes,Yes,No,,,,,,,,,No,N/A,Earth,Earth,Concrete,Rock;Soil,,42,40,42,25-50 feet,,,1992,1990-1999,,26,26,22,2,0.01,50,,,,,,,,,5/16/2024,12/31/2023,5,High,Fair,10/17/2018,,,Yes,1/11/2019,No,https://damsafety.org/washington
Reed Lake Dam,,,TX05299,,TX05299,REED LAKE DAM,Private,Private,0,No,NO DATA FOR ORIGINAL DESIGNER,No,Recreation,"Recreation;Fire Protection, Stock, Or Small Fish Pond",Texas,TX05299,33.307698,-96.326187,Texas,Collin,,,TR-BEAR CREEK,"Texas, Congressional District 03",,Yes,Yes,TCEQ,Yes,Yes,Yes,No,,,,,,,,,No,N/A,Earth,Earth,,,18,18,18,18,Less than 25 feet,700,0,1960,1960-1969,,96,96,67,0,0,,None,,,,,,,None1,9/10/2024,,,Low,Not Rated,6/18/2014,Not Applicable,5/21/2022,Not Required,,No,https://damsafety.org/texas
Willow Lake Dam,,,TX05296,,TX05296,HERBERT CAMPBELL,Private,Private,0,No,NO DATA FOR ORIGINAL DESIGNER,No,Recreation,"Recreation;Fire Protection, Stock, Or Small Fish Pond",Texas,TX05296,33.804081,-95.725793,Texas,Lamar,,,TR-SANDERS CREEK,"Texas, Congressional District 04",,Yes,Yes,TCEQ,Yes,Yes,Yes,No,,,,,,,,,No,N/A,Earth,Earth,,,22,22,22,22,Less than 25 feet,1320,0,1976,1970-1979,,686,686,353,0,0,,None,,,,,,,None1,9/10/2024,,,Low,Not Rated,6/18/2014,Not Applicable,5/21/2022,Not Required,,No,https://damsafety.org/texas
Camp Cooley Ranch Lake Dam No 2,,,TX04454,,TX04454,BERT WHEELER CAMP COOLEY RANCH,Private,Private,0,No,HENRY P ONEAL,No,Flood Risk Reduction,Flood Risk Reduction;Fish and Wildlife Pond;Recreation,Texas,TX04454,31.202095,-96.366354,Texas,Robertson,,,BEAR CREEK,"Texas, Congressional District 17",,Yes,Yes,TCEQ,Yes,Yes,Yes,No,,,,,,,,,No,N/A,Earth,Earth,Unlisted/Unknown;Unlisted/Unknown,Unlisted/Unknown,56,56,56,56,51-100 feet,1135,0,1988,1980-1989,,2340,2340,1298,88.5,1.8,750,Uncontrolled,100,,,,,,Uncontrolled1,9/10/2024,,,Low,Not Rated,6/18/2014,Not Applicable,5/21/2022,Not Required,,No,https://damsafety.org/texas
Ellison Creek Dam,,,TX04010,,TX04010,U S STEEL TUBULAR PRODUCTS,Private,Private,0,No,FREESE & NICHOLS;JOHN V W REYNDERS;POWELL & POWELL CONSULTING ENGINEERS,No,Recreation,Recreation;Other,Texas,TX04010,32.917867,-94.725925,Texas,Morris,,,BRUTONS CREEK,"Texas, Congressional District 01",,Yes,Yes,TCEQ,Yes,Yes,Yes,No,,,,,,,,,No,N/A,Earth,Earth,Earth,Unlisted/Unknown,49,49,49,49,25-50 feet,5800,0,1943,1940-1949,1970O;1999O,44685,44685,24400,1516,44.4,59600,Uncontrolled,830,,,,,,Uncontrolled2,9/10/2024,5/22/2024,5,High,Not Rated,5/29/2024,Not Applicable,5/29/2024,Yes,8/24/2021,No,https://damsafety.org/texas
Broseco Dam No 2,,,TX04006,,TX04006,BROVENTURE COMPANY INC,Private,Private,0,No,NO DATA FOR ORIGINAL DESIGNER,No,Recreation,"Recreation;Fire Protection, Stock, Or Small Fish Pond",Texas,TX04006,33.305,-94.766667,Texas,Morris,,,TR-MURPHY BRANCH,"Texas, Congressional District 01",,Yes,Yes,TCEQ,Yes,Yes,Yes,No,,,,,,,,,No,N/A,Earth,Earth,,,23,23,23,23,Less than 25 feet,1015,0,1963,1960-1969,,1135,1135,659,0,1.33,3302,Uncontrolled,65,,,,,,Uncontrolled2,9/10/2024,3/22/1979,,Low,Not Rated,6/18/2014,Not Applicable,5/21/2022,Not Required,,No,https://damsafety.org/texas
Aquilla Hackberry Ck WS SCS Gss 105,,,TX04469,,TX04469,AQUILLA HACKBERRY CREEK CD;HILL COUNTY COMMISSIONERS COURT;HILL COUNTY-BLACKLAND SWCD,Local Government,Local Government,0,No,USDA NRCS,No,Flood Risk Reduction,"Flood Risk Reduction;Fire Protection, Stock, Or Small Fish Pond;Other",Texas,TX04469,32.107693,-97.180952,Texas,Hill,HILLSBORO,7,TR-HACKBERRY CREEK,"Texas, Congressional District 06",,Yes,Yes,TCEQ,Yes,Yes,Yes,No,,,,,,,,,No,N/A,Earth,Earth,Unlisted/Unknown;Unlisted/Unknown,Unlisted/Unknown,15,19,24,24,Less than 25 feet,1160,17100,1976,1970-1979,,73,73,6,3,0.42,367,Uncontrolled,33,,,,,,Uncontrolled2,9/10/2024,4/24/2024,5,Significant,Not Rated,5/15/2024,Not Applicable,5/15/2024,Yes,3/12/2010,No,https://damsafety.org/texas
George W Maxwell Levee,,,TX03910,,TX03910,MAXWELL BROS,Private,Private,0,No,USDA NRCS,No,Irrigation,Irrigation,Texas,TX03910,30.001667,-94.646667,Texas,Liberty,,,COW ISLAND BAYOU,"Texas, Congressional District 36",,Yes,Yes,TCEQ,Yes,Yes,Yes,No,,,Natural Resources Conservation Service,,,,,,No,N/A,Earth,Earth,,,6,6,8,8,Less than 25 feet,11159,0,1955,1950-1959,,1260,1260,844,153,0,,None,,,,,,,None1,9/10/2024,3/30/1976,,Low,Not Rated,6/18/2014,Not Applicable,5/21/2022,Not Required,,No,https://damsafety.org/texas
Chimneyhill Stormwater Holding Pond,,,TX06445,,TX06445,CHIMNEYHILL HOMEOWNERS ASSOCIATION,Private,Private,0,No,NO DATA FOR ORIGINAL DESIGNER,No,Recreation,Recreation,Texas,TX06445,30.329586,-97.64837,Texas,Travis,,,OFF CH-WALNUT CREEK,"Texas, Congressional District 35",,Yes,Yes,TCEQ,Yes,Yes,Yes,No,,,,,,,,,No,N/A,Earth,Earth,,,26,26,26,26,25-50 feet,0,0,,Undetermined,,40,40,7,0,0,,None,,,,,,,None1,9/10/2024,3/29/1991,,Low,Not Rated,6/18/2014,Not Applicable,5/21/2022,Not Required,,No,https://damsafety.org/texas
Dunbar Lake Dam,,,TX05317,,TX05317,RK DUNBAR US CATTLE CO,Private,Private,0,No,NO DATA FOR ORIGINAL DESIGNER,No,Water Supply,Water Supply,Texas,TX05317,29.072164,-100.353377,Texas,Maverick,,,TR-ELM CREEK,"Texas, Congressional District 23",,Yes,Yes,TCEQ,Yes,Yes,Yes,No,,,Natural Resources Conservation Service,,,,,,No,N/A,Earth,Earth,,,22,22,22,22,Less than 25 feet,2000,0,1974,1970-1979,,530,530,150,24,0,,None,,,,,,,None1,9/10/2024,,,Low,Not Rated,6/18/2014,Not Applicable,5/21/2022,Not Required,,No,https://damsafety.org/texas
Lubbock Terminal Reservoir Levee,,,TX05315,,TX05315,CANADIAN RIVER AUTHORITY,Local Government,Local Government,0,No,NO DATA FOR ORIGINAL DESIGNER,No,Water Supply,Water Supply;Other,Texas,TX05315,33.673179,-101.802411,Texas,Lubbock,LUBBOCK,2,OFF CH-BRAZOS RIVER,"Texas, Congressional District 19",,Yes,Yes,TCEQ,Yes,Yes,Yes,No,,,,,,,,,No,N/A,Earth,Earth,,,15,15,15,15,Less than 25 feet,4625,160000,1965,1960-1969,,590,590,500,34,0.05,85,Uncontrolled,16,,,,,,Uncontrolled1,9/10/2024,3/19/2024,5,High,Satisfactory,4/16/2024,Normal Operations,4/16/2024,Yes,9/7/2013,No,https://damsafety.org/texas
Horseshoe Lake Dam,,,TX04280,,TX04280,WESTERN LAKE ESTATES OWNERS ASSOCIATION,Private,Private,0,No,RADY & ASSOCIATES INC,No,Recreation,Recreation,Texas,TX04280,32.621867,-97.809412,Texas,Parker,GRANBURY,14,HART BRANCH,"Texas, Congressional District 25",,Yes,Yes,TCEQ,Yes,Yes,Yes,No,,,,,,,,,No,N/A,Earth,Earth,Unlisted/Unknown;Unlisted/Unknown,Rock;Soil,26,26,26,26,25-50 feet,550,0,1970,1970-1979,,336,336,112,8.6,4.9,9526,Uncontrolled,200,,,,,,Uncontrolled1;Valve1,9/10/2024,7/27/2022,5,High,Fair,12/16/2022,Normal Operations,12/16/2022,No,,No,https://damsafety.org/texas
Lmb Reservoir Dam,,,TX06044,,TX06044,LMB CORPORATION,Private,Private,0,No,UNKNOWN,No,Irrigation,Irrigation,Texas,TX06044,26.078886,-97.55884,Texas,Cameron,,,RESACA DE LA CUATES,"Texas, Congressional District 34",,Yes,Yes,TCEQ,Yes,Yes,Yes,No,,,,,,,,,No,N/A,Earth,Earth,,,12,12,12,12,Less than 25 feet,500,0,1940,1940-1949,,550,550,300,0,0,,None,,,,,,,None1,9/10/2024,,,Low,Not Rated,6/18/2014,Not Applicable,5/21/2022,Not Required,,No,https://damsafety.org/texas
Lindsey Lake Dam,,Dean Lake Dam,TX03731,,TX03731,ELLIOT DEAN,Private,Private,0,No,NO DATA FOR ORIGINAL DESIGNER;UNKNOWN;UNKNOWN,No,Recreation,Recreation,Texas,TX03731,32.712455,-94.964081,Texas,Upshur,GILMER,1,BROOKS CREEK,"Texas, Congressional District 01",,Yes,Yes,TCEQ,Yes,Yes,Yes,No,,,,,,,,,No,N/A,Earth,Earth,Unlisted/Unknown;Unlisted/Unknown,Rock;Soil,19,19,19,19,Less than 25 feet,500,0,1953,1950-1959,1984S;2002S,150,150,81,13,0.5,2,Uncontrolled,31,,,,,,Uncontrolled2;Valve1,9/10/2024,10/5/2017,5,High,Not Rated,10/5/2022,Not Applicable,10/5/2022,Yes,12/28/2014,No,https://damsafety.org/texas
Big Sandy Dam,,,TX03723,,TX03723,MISSOURI PACIFIC RAILROAD CO,Private,Private,0,No,NO DATA FOR ORIGINAL DESIGNER,No,Recreation,Recreation,Texas,TX03723,32.582039,-95.118281,Texas,Upshur,BIG SANDY,,TR-HILLS CREEK,"Texas, Congressional District 01",,Yes,Yes,TCEQ,Yes,Yes,Yes,No,,,,,,,,,No,N/A,Earth,Earth,,,33,33,33,33,25-50 feet,1700,0,1910,1910-1919,,600,600,180,28,1.11,,None,,,,,,,None1,9/10/2024,3/19/1979,,Low,Not Rated,6/18/2014,Not Applicable,5/21/2022,Not Required,,No,https://damsafety.org/texas
Justiceburg Lake Dam,,,TX03962,,TX03962,POST ISD,Local Government,Local Government,0,No,NO DATA FOR ORIGINAL DESIGNER,No,Water Supply,Water Supply,Texas,TX03962,33.030216,-101.176742,Texas,Garza,,,COON CREEK,"Texas, Congressional District 19",,Yes,Yes,TCEQ,Yes,Yes,Yes,No,,,,,,,,,No,N/A,Earth,Earth,Earth,Rock;Soil,36,36,36,36,25-50 feet,700,0,1912,1910-1919,,865,865,526,0,0,3388,Uncontrolled,80,,,,,,Uncontrolled2,9/10/2024,4/8/1986,,Low,Not Rated,6/18/2014,Not Applicable,5/21/2022,Not Required,,No,https://damsafety.org/texas
Pierce Pond Dam,,,TX05306,,TX05306,JIM PIERCE;JULIA PIERCE,Private,Private,0,No,USDA NRCS,No,Recreation,"Recreation;Fire Protection, Stock, Or Small Fish Pond",Texas,TX05306,33.191456,-96.490132,Texas,Collin,,,TR-SISTER GROVE CREEK,"Texas, Congressional District 03",,Yes,Yes,TCEQ,Yes,Yes,Yes,No,,,,,,,,,No,N/A,Earth,Earth,,,14,14,14,14,Less than 25 feet,6300,0,1950,1950-1959,,62,62,24,0,0,,None,,,,,,,None1,9/10/2024,,,Low,Not Rated,6/18/2014,Not Applicable,5/21/2022,Not Required,,No,https://damsafety.org/texas
Anderson Lake Dam,,,TX05303,,TX05303,M ANDERSON,Private,Private,0,No,NO DATA FOR ORIGINAL DESIGNER,No,"Fire Protection, Stock, Or Small Fish Pond","Fire Protection, Stock, Or Small Fish Pond",Texas,TX05303,33.170948,-96.800242,Texas,Collin,,,TR-PANTHER CREEK,"Texas, Congressional District 04",,Yes,Yes,TCEQ,Yes,Yes,Yes,No,,,,,,,,,No,N/A,Earth,Earth,,,22,22,22,22,Less than 25 feet,857,0,1960,1960-1969,,97,97,34,0,0,,None,,,,,,,None1,9/10/2024,,,Low,Not Rated,6/18/2014,Not Applicable,5/21/2022,Not Required,,No,https://damsafety.org/texas
Henderson Clay Products Lake Dam,,,TX04243,,TX04243,HENDERSON CLAY PRODUCTS INC,Private,Private,0,No,NO DATA FOR ORIGINAL DESIGNER,No,Water Supply,Water Supply;Tailings;Other,Texas,TX04243,32.186207,-94.804392,Texas,Rusk,,,TR-CHEROKEE BAYOU,"Texas, Congressional District 01",,Yes,Yes,TCEQ,Yes,Yes,Yes,No,,,,,,,,,No,N/A,Earth,Earth,,,13,13,13,13,Less than 25 feet,320,0,1965,1960-1969,,53,53,37,22,0,,None,,,,,,,None1,9/10/2024,7/16/1984,,Low,Not Rated,6/18/2014,Not Applicable,5/21/2022,Not Required,,No,https://damsafety.org/texas
Love and Rodgers Dam No 1,,,TX04352,,TX04352,RONNIE LOVE,Private,Private,0,No,NO DATA FOR ORIGINAL DESIGNER,No,Irrigation,Irrigation,Texas,TX04352,32.33565,-98.608186,Texas,Eastland,,,SALT BRANCH,"Texas, Congressional District 25",,Yes,Yes,TCEQ,Yes,Yes,Yes,No,,,,,,,,,No,N/A,Earth,Earth,,,21,21,21,21,Less than 25 feet,1150,0,1970,1970-1979,,533,533,170,0,0,,None,,,,,,,None1,9/10/2024,9/6/1989,,Low,Not Rated,6/18/2014,Not Applicable,5/21/2022,Not Required,,No,https://damsafety.org/texas
Azalea Lake Dam,,,TX04635,,TX04635,ELKINS LAKE RECREATION CORPORATION,Private,Private,0,No,E E JOHNSON AND ASSOCIATES;E E JOHNSON AND ASSOCIATES;HUITT-ZOLLARS INC,No,Recreation,Recreation,Texas,TX04635,30.652171,-95.539413,Texas,Walker,HUNTSVILLE,5,PRAIRIE BRANCH,"Texas, Congressional District 08",,Yes,Yes,TCEQ,Yes,Yes,Yes,No,,,,,,,,,No,N/A,Earth,Earth,,,20,20,23,23,Less than 25 feet,700,23640,1980,1980-1989,1996S;2008S,300,300,90,0,0,0,Uncontrolled,46,,,,,,Uncontrolled2,9/10/2024,9/28/2009,,Low,Not Rated,9/28/2014,Not Applicable,5/21/2022,Not Required,,No,https://damsafety.org/texas
Gibbons Creek Dam,,,TX04634,,TX04634,GIBBONS CREEK ENVIRONMENTAL REDEVELOPMENT GROUP LLC,Private,Private,0,No,FREESE AND NICHOLS,No,Hydroelectric,Hydroelectric;Recreation,Texas,TX04634,30.609448,-96.065133,Texas,Grimes,NAVASOTA,20,GIBBONS CREEK,"Texas, Congressional District 10",,Yes,Yes,TCEQ,Yes,Yes,Yes,No,,,,,,,,,No,N/A,Earth,Earth,Earth,Soil,50,50,50,50,51-100 feet,6150,0,1981,1980-1989,,81874,81874,32084,2770,85,204150,,1636,,,,,,Other Controlled1;Slide (sluice gate)3;Uncontrolled1,9/10/2024,7/7/2022,5,High,Satisfactory,4/11/2023,Normal Operations,4/11/2023,Yes,6/8/2021,No,https://damsafety.org/texas
